MeanVerifTime,InvariantSize,MythVerifCalls,FoldMaxVerifTime,MythMaxVerifTime,ThirtyTotalVerifTime,FoldTotalSynthTime,ConjStrVerifCalls,Test,ThirtyTime,SRPVerifCalls,LAStrTotalSynthTime,MythTime,SRPMaxSynthTime,FoldSynthCalls,LAStrMaxSynthTime,ThirtySynthCalls,SRPTotalSynthTime,CLPTotalVerifTime,MythTotalSynthTime,ThirtyMaxSynthTime,FoldTime,MythSynthCalls,SRPTime,SRPMaxVerifTime,ConjStrTotalVerifTime,LAStrSynthCalls,ConjStrSynthCalls,CLPMaxVerifTime,LAStrTime,ThirtyMaxVerifTime,MythTotalVerifTime,CLPTotalSynthTime,CLPTime,ConjStrTotalSynthTime,CLPSynthCalls,CLPVerifCalls,LAStrTotalVerifTime,ConjStrTime,FoldTotalVerifTime,FoldVerifCalls,ThirtyTotalSynthTime,ConjStrMaxSynthTime,ThirtyVerifCalls,ConjStrMaxVerifTime,MythMaxSynthTime,FoldMaxSynthTime,SRPSynthCalls,MeanSynthTime,LAStrVerifCalls,CLPMaxSynthTime,LAStrMaxVerifTime,SRPTotalVerifTime
0.97,28,8,6.7,6.8,incorrect,0.6,20,/other/rational,incorrect,8,0.7,8.6,0.7,5,0.6,incorrect,0.7,7.8,0.7,incorrect,8.8,2,8.6,6.7,7.7,3,5,6.7,15.8,incorrect,7.8,0.7,8.6,0.7,2,9,15.1,8.4,8.1,14,incorrect,0.6,incorrect,6.6,0.7,0.2,2,0.35,21,0.7,6.9,7.8
0.75,45,20,6.4,11.8,incorrect,0.4,42,/other/sized-list,incorrect,18,0.3,15.4,0.2,4,0.2,incorrect,0.3,16.2,0.3,incorrect,11.4,6,15.8,12.1,24.5,14,17,12.1,39.4,incorrect,15.0,0.3,16.7,0.4,6,33,39.0,25.0,10.8,14,incorrect,0.2,incorrect,6.3,0.2,0.2,7,0.05,43,0.2,6.5,15.3
0.28,49,20,2.1,2.1,err,0.2,35,/other/stutter-list,err,20,1.1,6.9,0.5,2,0.4,err,1.1,9.6,1.1,err,4.2,7,6.9,2.1,9.4,9,10,2.1,13.9,err,5.6,1.2,11.0,1.1,7,34,12.8,10.6,3.9,10,err,0.4,err,2.1,0.5,0.1,8,0.16,37,0.5,2.2,5.6
0.83,4,3,2.4,2.5,incorrect,0.0,11,/vfa-extended/assoc-list-::-table,incorrect,3,0.0,2.6,0.0,0,0.0,incorrect,0.0,2.5,0.0,incorrect,2.5,0,2.5,2.4,57.2,0,0,2.4,54.9,incorrect,2.5,0.0,2.5,0.0,0,3,54.9,57.3,2.4,3,incorrect,0.0,incorrect,51.8,0.0,0.0,0,undef,6,0.0,49.6,2.4
103,t/o,t/o,t/o,t/o,incorrect,t/o,t/o,/vfa-extended/bst-::-table,incorrect,t/o,t/o,t/o,t/o,t/o,t/o,incorrect,t/o,t/o,t/o,incorrect,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,incorrect,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,incorrect,t/o,incorrect,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o
5.13,4,3,7.6,8.0,incorrect,0.0,t/o,/vfa-extended/trie-::-table,incorrect,3,t/o,15.5,0.0,0,t/o,incorrect,0.0,13.4,0.0,incorrect,14.6,0,14.0,7.2,t/o,t/o,t/o,7.0,t/o,incorrect,15.4,0.0,13.5,t/o,0,3,t/o,t/o,14.6,3,incorrect,t/o,incorrect,t/o,0.0,0.0,0,undef,t/o,0.0,t/o,13.9
0.63,4,3,1.9,1.8,incorrect,0.0,9,/vfa/assoc-list-::-table,incorrect,3,0.0,1.9,0.0,0,0.0,incorrect,0.0,1.8,0.0,incorrect,1.9,0,1.9,1.8,51.5,0,0,1.8,51.9,incorrect,1.9,0.0,1.9,0.0,0,3,51.9,51.6,1.9,3,incorrect,0.0,incorrect,49.6,0.0,0.0,0,undef,5,0.0,50.0,1.8
4.27,4,3,12.5,12.8,incorrect,0.0,9,/vfa/bst-::-table,incorrect,3,0.0,12.9,0.0,0,0.0,incorrect,0.0,12.2,0.0,incorrect,12.6,0,12.4,12.3,153.7,0,0,12.1,154.4,incorrect,12.8,0.0,12.2,0.0,0,3,154.3,153.8,12.5,3,incorrect,0.0,incorrect,141.7,0.0,0.0,0,undef,5,0.0,142.4,12.3
0.99,47,54,11.8,13.8,incorrect,34.4,585,/vfa/tree-::-priqueue*,incorrect,52,t/o,65.7,5.8,27,t/o,incorrect,15.8,275.0,9.6,incorrect,81.2,15,76.1,15.1,463.6,t/o,50,13.8,t/o,incorrect,53.6,9.6,287.1,27.3,15,145,t/o,492.9,43.9,68,incorrect,9.0,incorrect,14.4,5.0,11.5,23,0.64,t/o,5.0,t/o,55.6
1.19,47,54,10.7,14.8,err,14.5,t/o,/vfa/tree-::-priqueue+binfuncs*,err,52,t/o,79.4,7.2,21,t/o,err,20.4,335.5,12.4,err,56.2,15,87.4,14.5,t/o,t/o,t/o,14.6,t/o,err,64.5,12.3,350.4,t/o,15,145,t/o,t/o,40.2,53,err,t/o,err,t/o,6.5,3.4,23,0.83,t/o,6.5,t/o,62.4
5.87,4,3,13.2,10.1,incorrect,0.0,t/o,/vfa/trie-::-table,incorrect,3,t/o,17.7,0.0,0,t/o,incorrect,0.0,21.6,0.0,incorrect,22.9,0,26.3,15.1,t/o,t/o,t/o,12.4,t/o,incorrect,17.6,0.0,21.7,t/o,0,3,t/o,t/o,22.9,3,incorrect,t/o,incorrect,t/o,0.0,0.0,0,undef,t/o,0.0,t/o,26.2
